generator,mse_fractal,mse_esn,mse_lstm,mse_gru,mse_mlp
mackey_glass,0.020966382697224617,0.0001331530511379242,0.0010594773339107633,0.0029921317473053932,0.000606630346737802
fast_mg,0.00043453482794575393,3.817573087872006e-05,0.0008444106788374484,0.00039762939559295774,0.000674575858283788
medium_mg,0.00256301905028522,0.00017011519230436534,0.0024188137613236904,0.001581028918735683,0.0010748188942670822
slow_mg,0.0024606355000287294,0.00023298028099816293,0.004061430227011442,0.0022743716835975647,0.0020488023292273283
multiscale_sine,1.723913550376892,0.45606425404548645,0.32329311966896057,0.5562841892242432,0.8379305601119995
piecewise,0.48359566926956177,0.557595431804657,0.10830561816692352,0.1516653597354889,0.2662815451622009
am_fm,0.01427878811955452,0.00016642430273350328,0.0009630154818296432,0.00038447880069725215,0.0016350678633898497
heteroskedastic,1.5723316669464111,0.4621872901916504,0.3540014326572418,0.6126986145973206,0.8303635120391846
composite,0.1558687835931778,0.10950782150030136,0.11215179413557053,0.11317360401153564,0.11243338882923126
