buffer_size,mse_fast,mse_slow,final_buffer
50,0.032327886670827866,0.0049903979524970055,50
200,0.03247533366084099,0.0028364905156195164,200
800,0.02738022617995739,0.0027660056948661804,800
2000,0.03187902271747589,0.002762602176517248,1199
